title,url,listing_id,price,location,year,mileage,fuel_type,engine_cc,transmission,last_updated,spec_registered_in,spec_color,spec_assembly,spec_engine_capacity,spec_body_type,spec_last_updated,spec_ad_ref,features,description,seller_info,seller_phone,posted_date,image_urls,image_count,images_downloaded,spec_battery_capacity
Daihatsu Cast  2022 Sport Turbo SA III for Sale,https://www.pakwheels.com/used-cars/daihatsu-cast-2022-for-sale-in-lahore-11261566,11261566,PKR 34lacs,Lahore,2022,"40,000 km",Petrol,658 cc,Automatic,Updated 1 minute ago,Punjab,White,Imported,658 cc,Hatchback,"Mar 15, 2026",11261566,"Alloy Wheels, Front Fog Lights, DRLs, Infotainment System, Android Auto, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Traction Control, Tyre Pressure Monitoring System (TPMS), Parking Sensors, Front Camera, Rear Camera, Immobilizer Key, Power Locks, Power Mirrors, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Jan 24, 2023",032XXXXXXXX,Added via Phone,https://cache1.pakwheels.com/ad_pictures/1400/daihatsu-cast-sport-turbo-sa-iii-2022-140084267.webp|https://cache3.pakwheels.com/ad_pictures/1400/daihatsu-cast-sport-turbo-sa-iii-2022-140084269.webp|https://cache2.pakwheels.com/ad_pictures/1400/daihatsu-cast-sport-turbo-sa-iii-2022-140084268.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,4,2,
Suzuki Cultus  2015 EURO II for Sale,https://www.pakwheels.com/used-cars/suzuki-cultus-2015-for-sale-in-karachi-11261562,11261562,PKR 15.5lacs,Karachi,2015,"75,000 km",Petrol,1000 cc,Manual,Updated 2 minutes ago,Sindh,Graphite Grey,Local,1000 cc,Hatchback,"Mar 15, 2026",11261562,"Infotainment System, Rear Speakers, Air Conditioning",,"Member Since Mar 15, 2026",031XXXXXXXX,Added via Phone,https://cache4.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076175.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076189.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076199.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076179.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076195.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076183.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076176.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076174.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076201.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076205.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076204.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076206.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076196.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076208.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076209.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076198.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076207.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076210.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076211.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-vxri-euro-ii-2015-140076212.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,21,20,
Suzuki Alto  2015 TURBO RS for Sale,https://www.pakwheels.com/used-cars/suzuki-alto-2015-for-sale-in-karachi-11261560,11261560,PKR 27.5lacs,Karachi,2015,148 km,Petrol,660 cc,Automatic,Updated 3 minutes ago,Sindh,White,Imported,660 cc,Hatchback,"Mar 15, 2026",11261560,"Alloy Wheels, Front Fog Lights, Infotainment System, Front Speakers, Rear Speakers, Steering Switches, Paddle Shifters, ABS, Air Bags, Traction Control, Rear Camera, Immobilizer Key, Power Locks, Heated Seats, Power Mirrors, Climate Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Mar 15, 2026",031XXXXXXXX,,https://cache4.pakwheels.com/ad_pictures/1400/suzuki-alto-turbo-rs-2015-140084355.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-alto-turbo-rs-2015-140084356.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-alto-turbo-rs-2015-140084357.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-alto-turbo-rs-2015-140084358.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-alto-turbo-rs-2015-140084359.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,6,6,
Suzuki Cultus  2016 Limited Edition for Sale,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-hyderabad-11261559,11261559,PKR 17.5lacs,Hyderabad,2016,"100,000 km",Petrol,1000 cc,Manual,Updated 3 minutes ago,Karachi,Sand Beige,Local,1000 cc,Hatchback,"Mar 15, 2026",11261559,"Alloy Wheels, Infotainment System, Front Speakers, Power Locks, Air Conditioning",,"Member Since Mar 15, 2026",033XXXXXXXX,,https://cache3.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084302.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084303.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084304.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084305.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084306.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084307.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084308.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-cultus-limited-edition-2-2016-140084309.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,9,9,
FAW V2  2020 VCT-i for Sale,https://www.pakwheels.com/used-cars/faw-v2-2020-for-sale-in-bahawalpur-11261555,11261555,PKR 24.5lacs,Bahawalpur,2020,"55,000 km",Petrol,1300 cc,Manual,Updated 3 minutes ago,Punjab,White,Local,1300 cc,Hatchback,"Mar 15, 2026",11261555,"Alloy Wheels, Front Fog Lights, Infotainment System, Front Speakers, ABS, Air Bags, Immobilizer Key, Power Locks, Power Seats, Power Mirrors, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Aug 29, 2020",033XXXXXXXX,Added via Phone,https://cache4.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083976.webp|https://cache2.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083982.webp|https://cache1.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083970.webp|https://cache3.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083975.webp|https://cache3.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083966.webp|https://cache2.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083979.webp|https://cache4.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083973.webp|https://cache3.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083971.webp|https://cache2.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083987.webp|https://cache4.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083989.webp|https://cache3.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083984.webp|https://cache1.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083980.webp|https://cache2.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083991.webp|https://cache1.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083983.webp|https://cache4.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083988.webp|https://cache2.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083986.webp|https://cache2.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083990.webp|https://cache1.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083992.webp|https://cache1.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083994.webp|https://cache4.pakwheels.com/ad_pictures/1400/faw-v2-vct-i-2020-140083993.webp,20,20,
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-lahore-11261539,11261539,PKR 32.5lacs,Lahore,2012,"98,000 km",Petrol,1600 cc,Automatic,Updated 3 minutes ago,Lahore,Celestial Black,Local,1600 cc,Sedan,"Mar 15, 2026",11261539,"Alloy Wheels, Front Fog Lights, Sun Roof, Infotainment System, Front Speakers, Rear Speakers, ABS, Air Bags, Immobilizer Key, Power Locks, Power Mirrors, Cruise Control, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Jul 31, 2023",031XXXXXXXX,Added via Phone,https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-1-6-cruisetronic-sr-2012-140083948.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-corolla-1-6-cruisetronic-sr-2012-140083947.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-corolla-1-6-cruisetronic-sr-2012-140083949.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-corolla-1-6-cruisetronic-sr-2012-140083955.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-1-6-cruisetronic-sr-2012-140083954.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-1-6-cruisetronic-sr-2012-140083977.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-1-6-cruisetronic-sr-2012-140083978.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,8,8,
KIA Picanto  2022 1.0 AT for Sale,https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-islamabad-11261558,11261558,PKR 29.2lacs,Islamabad,2022,1 km,Petrol,1000 cc,Automatic,Updated 4 minutes ago,Karachi,Mercury Blue,Local,1000 cc,Hatchback,"Mar 15, 2026",11261558,"DRLs, Infotainment System, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Immobilizer Key, Power Locks, Power Mirrors, Climate Control, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Sep 26, 2018",033XXXXXXXX,,https://cache1.pakwheels.com/ad_pictures/1400/kia-picanto-1-0-at-2022-140084281.webp|https://cache1.pakwheels.com/ad_pictures/1400/kia-picanto-1-0-at-2022-140084282.webp|https://cache2.pakwheels.com/ad_pictures/1400/kia-picanto-1-0-at-2022-140084283.webp|https://cache1.pakwheels.com/ad_pictures/1400/kia-picanto-1-0-at-2022-140084284.webp|https://cache1.pakwheels.com/ad_pictures/1400/kia-picanto-1-0-at-2022-140084285.webp|https://cache1.pakwheels.com/ad_pictures/1400/kia-picanto-1-0-at-2022-140084286.webp|https://cache2.pakwheels.com/ad_pictures/1400/kia-picanto-1-0-at-2022-140084287.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,8,8,
Toyota Corolla  2017 Altis Grande CVT-i 1.8 for Sale,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-11261557,11261557,PKR 49.2lacs,Lahore,2017,"137,500 km",Petrol,1800 cc,Automatic,Updated 4 minutes ago,Punjab,Super white,Local,1800 cc,Sedan,"Mar 15, 2026",11261557,"Alloy Wheels, Front Fog Lights, LED Headlights, Sun Roof, Infotainment System, Android Auto, Front Speakers, Rear Speakers, Steering Switches, Paddle Shifters, ABS, Air Bags, Traction Control, Front Camera, Rear Camera, Immobilizer Key, Power Locks, Power Mirrors, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Oct 14, 2020",033XXXXXXXX,Added via Phone,https://cache3.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084138.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084136.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084134.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084137.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084135.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084139.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084140.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084133.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084132.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084130.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-altis-1-8-grande-automatic-2017-140084131.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,12,12,
Deepal S05  2026 REEV Premium for Sale,https://www.pakwheels.com/used-cars/deepal-s05-2026-for-sale-in-karachi-11250151,11250151,PKR 1.14crore,Karachi,2026,100 km,REEV,1500 cc,Automatic,Updated 4 minutes ago,Un-Registered,White,Local,1500 cc,SUV,"Mar 15, 2026",11250151,"Alloy Wheels, Front Fog Lights, LED Headlights, DRLs, Panoramic Sunroof, Infotainment System, Head Up Display (HUD), Android Auto, Apple CarPlay, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Traction Control, Tyre Pressure Monitoring System (TPMS), Parking Sensors, Front Camera, Rear Camera, 360 Camera, Immobilizer Key, Power Locks, Power Seats, Heated Seats, Ventilated Seats, Power Mirrors, Rear AC Vents, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Aug 25, 2019",032XXXXXXXX,Added via Phone,https://cache1.pakwheels.com/ad_pictures/1400/deepal-s05-reev-premium-2026-140084220.webp|https://cache1.pakwheels.com/ad_pictures/1398/deepal-s05-reev-premium-2026-139899893.webp|https://cache3.pakwheels.com/ad_pictures/1398/deepal-s05-reev-premium-2026-139899892.webp|https://cache2.pakwheels.com/ad_pictures/1398/deepal-s05-reev-premium-2026-139899946.webp|https://cache3.pakwheels.com/ad_pictures/1398/deepal-s05-reev-premium-2026-139899942.webp,5,5,
Suzuki Every  2010 Join for Sale,https://www.pakwheels.com/used-cars/suzuki-every-2010-for-sale-in-lahore-11261552,11261552,PKR 15.75lacs,Lahore,2010,"100,000 km",Petrol,660 cc,Automatic,Updated 4 minutes ago,Lahore,Silky Silver Metallic,Imported,660 cc,Micro Van,"Mar 15, 2026",11261552,"Infotainment System, Front Speakers, Air Bags, Power Locks, Keyless Entry, Power Steering, Air Conditioning",,"Member Since May 13, 2024",032XXXXXXXX,,https://cache2.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084146.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084147.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084148.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084149.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084150.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084151.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084152.webp|https://cache1.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084153.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084154.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084155.webp|https://cache3.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084156.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084157.webp|https://cache2.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084158.webp|https://cache4.pakwheels.com/ad_pictures/1400/suzuki-every-join-2-2010-140084159.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,15,15,
Daihatsu Cuore  2011 CX Eco for Sale,https://www.pakwheels.com/used-cars/daihatsu-cuore-2011-for-sale-in-hyderabad-11261551,11261551,PKR 15lacs,Hyderabad,2011,"100,000 km",Petrol,800 cc,Automatic,Updated 5 minutes ago,Sindh,Silver,Local,800 cc,Hatchback,"Mar 15, 2026",11261551,Air Conditioning,,,030XXXXXXXX,,https://cache1.pakwheels.com/ad_pictures/1400/daihatsu-cuore-coure-cx-2011-140084249.webp|https://cache1.pakwheels.com/ad_pictures/1400/daihatsu-cuore-coure-cx-2011-140084252.webp|https://cache3.pakwheels.com/ad_pictures/1400/daihatsu-cuore-coure-cx-2011-140084253.webp|https://cache2.pakwheels.com/ad_pictures/1400/daihatsu-cuore-coure-cx-2011-140084254.webp|https://cache1.pakwheels.com/ad_pictures/1400/daihatsu-cuore-coure-cx-2011-140084258.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,6,6,
Honda City 6th Generation 2025 1.5L ASPIRE CVT for Sale9.7/10,https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-islamabad-11208041,11208041,PKR 60.9lacs,Islamabad,2025,"8,462 km",Petrol,1500 cc,Automatic,Updated 5 minutes ago,Islamabad,Taffeta White,Local,1500 cc,Compact sedan,"Mar 15, 2026",11208041,"Alloy Wheels, Front Fog Lights, DRLs, Infotainment System, Android Auto, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Rear Camera, Immobilizer Key, Power Locks, Power Mirrors, Rear AC Vents, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,,042XXXXXXXX,,https://cache3.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225073.webp|https://cache3.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225074.webp|https://cache4.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225078.webp|https://cache1.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225075.webp|https://cache4.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225077.webp|https://cache2.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225076.webp|https://cache3.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225084.webp|https://cache2.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225080.webp|https://cache3.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225079.webp|https://cache2.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225081.webp|https://cache4.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225082.webp|https://cache1.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225083.webp|https://cache3.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225085.webp|https://cache1.pakwheels.com/ad_pictures/1392/honda-city-1-5l-cvt-2025-139225086.webp,14,14,
Mazda 323  1986  for Sale,https://www.pakwheels.com/used-cars/mazda-323-1986-for-sale-in-lahore-11261544,11261544,PKR 5.5lacs,Lahore,1986,1 km,Petrol,1500 cc,Manual,Updated 6 minutes ago,Sindh,Blue,Local,1500 cc,N/A,"Mar 15, 2026",11261544,,,"Member Since Oct 04, 2024",032XXXXXXXX,,https://cache1.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083937.webp|https://cache4.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083938.webp|https://cache1.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083939.webp|https://cache3.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083940.webp|https://cache2.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083941.webp|https://cache3.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083942.webp|https://cache4.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083943.webp|https://cache3.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083944.webp|https://cache1.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083945.webp|https://cache3.pakwheels.com/ad_pictures/1400/mazda-323-1986-140083946.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,11,10,
Toyota Corolla Axio  2007 G for Sale,https://www.pakwheels.com/used-cars/toyota-corolla-axio-2007-for-sale-in-islamabad-11261537,11261537,PKR 33.9lacs,Islamabad,2007,"164,000 km",Petrol,1500 cc,Automatic,Updated 7 minutes ago,Islamabad,White,Imported,1500 cc,Sedan,"Mar 15, 2026",11261537,"Infotainment System, Steering Switches, ABS, Air Bags, Rear Camera, Power Locks, Power Mirrors, Climate Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Feb 14, 2026",034XXXXXXXX,Added via Phone,https://cache2.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083757.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083751.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083753.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083746.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083745.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083759.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083752.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083750.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083770.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083773.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083778.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083803.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083774.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083776.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083802.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083800.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083798.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083805.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083806.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-corolla-axio-1-5-g-2007-140083789.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,21,21,
